distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,0,1,0,1,0,10,8,11,8,16,8,2,13,2,8,8,8,8,23,23,1,4,30,0.133,3,0,1,0,15,0
0,1,1,0,1,2,10,8,11,8,8,2,13,13,2,8,8,8,8,23,23,0,4,30,0.1,1,0.099,0,5.148,10,1
0,1,0,0,1,1,6,11,11,13,18,16,13,13,2,4,8,16,8,24,35,3,4,20,0.65,1,0.489,0,1.906,15,0
0,0,1,0,1,6,6,8,11,14,13,16,8,13,2,4,8,16,8,27,35,2,4,20,0.45,3,0,1,0,15,0
0,0,1,0,1,1,6,8,11,16,8,3,9,13,2,4,8,16,8,24,35,1,4,20,0.35,1,0,1,0,14,0
0,0,1,0,1,2,6,8,11,9,9,2,13,13,2,4,8,16,8,27,35,0,4,20,0.15,1,0.317,0,4.591,11,1
0,1,0,1,0,1,2,12,11,18,18,12,8,13,8,8,6,8,8,23,23,7,4,18,0.611,1,0,1,0,13,0
0,0,1,0,1,6,2,8,11,12,12,16,8,13,8,8,6,16,8,23,23,5,4,18,0.5,3,0.183,0,4.242,8,0
0,0,1,0,1,2,2,8,11,16,8,8,8,13,8,8,6,8,8,23,23,4,4,18,0.389,4,0,1,0,14,0
0,0,1,0,1,2,2,8,11,8,16,8,2,13,8,8,6,8,8,23,23,3,4,18,0.333,1,0,1,0,12,0
0,1,1,0,1,2,2,8,11,8,8,2,8,13,8,8,6,16,8,27,23,2,4,18,0.278,1,0.077,0,2.561,13,0
0,1,1,0,1,2,2,8,11,2,8,8,13,13,8,8,6,8,8,23,23,1,4,18,0.167,1,0,1,0,12,0
0,1,1,0,1,1,2,8,11,8,2,13,11,13,8,8,6,16,8,24,23,0,4,18,0.111,4,0.142,0,3.818,9,1
0,1,1,0,1,10,3,8,11,16,18,13,1,13,8,8,9,16,16,27,26,12,4,37,0.595,1,-0.032,0,4.393,12,0
0,1,1,0,1,10,3,8,11,1,13,4,12,13,8,8,9,8,16,5,26,11,4,37,0.514,1,-0.078,0,4.811,11,0
0,1,0,1,1,1,3,12,11,4,8,12,8,13,8,8,9,8,16,23,26,10,4,37,0.459,2,0,1,0,14,0
0,1,1,0,1,9,3,8,11,12,12,3,8,13,8,8,9,18,16,32,26,8,4,37,0.405,1,0,1,0,16,0
0,1,1,0,1,2,3,8,11,3,8,13,12,13,8,8,9,12,16,23,26,7,4,37,0.351,1,0,1,0,0,0
0,1,0,1,1,1,3,12,11,13,8,12,8,13,8,8,9,8,16,23,26,6,4,37,0.297,2,0,1,0,14,0
0,1,1,0,1,2,3,8,11,12,12,5,1,13,8,8,9,8,16,11,26,4,4,37,0.243,1,0,1,0,16,0
0,1,1,0,1,2,3,8,11,1,5,12,12,13,8,8,9,8,16,11,26,3,4,37,0.162,1,0.244,0,6.699,14,0
0,1,0,1,1,1,3,12,11,8,1,12,13,13,8,8,9,8,16,23,26,2,4,37,0.135,1,0,1,0,12,0
0,1,1,0,1,1,3,8,11,13,12,13,11,13,8,8,9,8,16,29,26,0,4,37,0.054,2,0.263,0,7.649,11,1
0,1,0,1,0,9,1,12,11,18,18,3,1,13,12,8,16,1,16,27,24,9,4,35,0.486,1,0,1,0,16,0
0,0,1,0,1,3,1,8,11,1,3,8,1,13,12,8,16,8,16,23,24,8,4,35,0.4,1,0,1,0,16,0
0,1,1,0,1,2,1,8,11,8,1,1,8,13,12,8,16,8,16,23,24,7,4,35,0.371,1,0,1,0,16,0
0,1,1,0,1,2,1,8,11,1,8,16,8,13,12,8,16,16,16,26,24,6,4,35,0.314,3,-0.031,0,5.014,12,0
0,1,1,0,1,9,1,8,11,16,8,1,8,13,12,8,16,1,16,27,24,5,4,35,0.257,1,0.355,0,6.85,9,0
0,0,1,0,1,1,1,8,11,1,8,12,12,13,12,8,16,16,16,24,24,4,4,35,0.2,1,0.218,0,5.794,13,0
0,1,0,1,1,1,1,12,11,8,1,12,5,13,12,8,16,8,16,5,24,3,4,35,0.171,1,0,1,0,16,0
0,1,0,1,1,1,1,12,11,5,12,12,13,13,12,8,16,12,16,11,24,1,4,35,0.086,1,0,1,0,16,0
0,1,0,1,0,1,1,12,11,18,18,13,11,13,12,9,1,16,16,24,24,0,4,18,0.111,2,0,1,0,13,1
0,1,1,0,0,5,5,8,11,18,18,3,8,13,12,16,8,1,16,27,27,8,4,28,0.571,1,0.226,0,7.112,11,0
0,1,1,0,1,3,5,8,11,3,8,1,13,13,12,16,8,1,16,26,27,7,4,28,0.5,1,0.196,0,1.702,15,0
0,0,1,0,1,0,5,8,11,13,1,8,13,13,12,16,8,8,16,23,27,6,4,28,0.393,1,0,1,0,16,0
0,1,1,0,1,9,5,8,11,13,8,8,4,13,12,16,8,1,16,27,27,4,4,28,0.286,1,0.117,0,5.237,11,0
0,1,1,0,1,9,5,8,11,8,13,4,1,13,12,16,8,1,16,27,27,3,4,28,0.25,1,0,1,0,14,0
0,1,1,0,1,1,5,8,11,1,4,12,12,13,12,16,8,1,16,40,27,2,4,28,0.143,3,0.314,0,7.665,11,0
0,1,0,1,1,1,5,12,11,8,1,12,13,13,12,16,8,8,16,5,27,1,4,28,0.107,2,0,1,0,16,1
0,0,1,0,1,0,1,8,11,11,18,15,8,13,12,16,3,8,16,23,24,6,4,22,0.682,1,0,1,0,15,0
0,1,1,0,1,2,1,8,11,15,8,8,2,13,12,16,3,8,16,23,24,5,4,22,0.591,1,0,1,0,16,0
0,1,1,0,1,2,1,8,11,8,15,2,4,13,12,16,3,16,16,27,24,4,4,22,0.545,1,0.015,0,3.028,16,0
0,1,1,0,1,3,1,8,11,9,4,2,8,13,12,16,3,16,16,27,24,3,4,22,0.364,3,0.128,0,5.954,12,0
0,1,1,0,1,3,1,8,11,2,8,16,3,13,12,16,3,8,16,23,24,2,4,22,0.273,1,0.071,0,5.072,16,0
0,1,0,1,1,1,1,12,11,3,16,12,13,13,12,16,3,16,16,24,24,1,4,22,0.136,1,0,1,0,13,1
0,1,0,0,1,3,1,11,11,16,1,8,12,13,13,16,8,16,16,26,24,6,4,20,0.5,2,0.555,0,1.579,16,0
0,1,1,0,1,1,1,8,11,11,16,12,12,13,13,16,8,16,16,24,24,5,4,20,0.45,3,0.314,0,7.665,11,0
0,1,0,1,1,1,1,12,11,8,11,12,13,13,13,16,8,8,16,5,24,4,4,20,0.4,1,0,1,0,0,1
0,1,0,1,1,1,1,12,11,13,12,12,12,13,13,16,8,8,16,29,24,2,4,20,0.25,2,0,1,0,15,0
0,1,0,0,0,12,1,11,11,18,18,16,8,13,13,16,11,16,16,27,24,5,4,16,0.625,1,0.403,0,4.485,0,0
0,1,1,0,1,1,1,8,11,16,11,12,12,13,13,16,11,16,16,24,24,4,4,16,0.5,2,0.333,0,6.614,11,0
0,1,0,1,1,1,1,12,11,8,16,12,13,13,13,16,11,8,16,5,24,3,4,16,0.438,2,0,1,0,16,1
0,1,0,1,1,1,1,12,11,13,12,12,13,13,13,16,11,8,16,29,24,1,4,16,0.25,3,0,1,0,14,0
0,0,1,0,0,10,1,8,11,18,18,16,1,13,8,8,16,16,16,27,24,3,4,16,0.438,1,0.368,0,5.738,10,0
0,1,1,0,1,2,1,8,11,1,16,12,8,13,8,8,16,16,16,26,24,2,4,16,0.25,2,0.012,0,2.018,10,0
0,1,0,1,1,1,1,12,11,8,1,8,13,13,8,8,16,16,16,24,24,1,4,16,0.188,2,0,1,0,15,1
0,1,1,0,1,1,6,8,11,7,16,13,11,13,8,8,4,16,8,24,27,0,4,13,0.154,3,0.154,0,2.232,10,0
0,1,1,0,1,1,1,8,11,16,14,13,4,13,8,9,3,16,16,24,24,2,4,25,0.4,1,0.225,0,1.072,13,0
0,1,0,0,1,1,1,11,11,4,13,8,13,13,8,9,3,8,16,40,24,2,4,25,0.28,1,0.371,0,2.091,14,0
0,1,1,0,1,1,1,8,11,11,4,13,13,13,8,9,3,18,16,32,24,1,4,25,0.24,1,0,1,0,0,0
0,1,1,0,1,1,1,8,11,16,13,13,11,13,8,9,3,16,16,24,24,0,4,25,0.08,1,0.434,0,7.503,8,0
0,1,0,0,0,2,1,11,11,18,18,16,12,13,8,16,12,16,16,26,24,2,4,10,0.6,4,0.346,0,2.133,16,0
0,1,0,1,1,10,1,12,11,16,11,3,8,13,8,16,12,3,16,27,24,1,4,10,0.4,1,0,1,0,6,0
0,1,1,0,1,1,1,8,11,3,12,13,11,13,8,16,12,16,16,24,24,0,4,10,0.2,1,0,1,0,16,0
0,0,0,1,1,0,1,12,11,16,18,8,13,13,8,16,8,8,16,23,24,1,4,13,0.231,1,0,1,0,15,0
0,1,1,0,1,5,1,8,11,12,16,13,11,13,8,16,8,16,16,27,24,0,4,13,0.154,1,0.16,0,7.161,13,0
0,0,1,0,1,2,10,8,11,2,18,8,4,13,2,1,4,8,1,23,27,3,4,23,0.304,1,0,1,0,13,0
0,0,1,0,1,3,10,8,11,8,2,4,8,13,2,1,4,18,1,32,27,2,4,23,0.261,1,0.145,0,2.259,11,0
0,0,1,0,1,1,10,8,11,4,8,8,2,13,2,1,4,8,1,40,27,1,4,23,0.174,1,0.298,0,1.037,12,0
0,1,1,0,1,2,10,8,11,8,4,2,13,13,2,1,4,8,1,23,27,0,4,23,0.13,1,0.15,0,6.971,11,0
0,1,0,0,1,1,1,11,11,4,3,16,5,13,16,8,16,16,16,24,24,0,4,14,0.429,1,0.371,0,2.091,14,0
0,0,1,0,0,1,1,8,11,18,18,13,2,13,11,4,4,16,1,24,40,3,4,25,0.56,1,0.285,0,1.376,16,0
0,0,1,0,1,2,1,8,11,2,13,5,8,13,11,4,4,8,1,29,40,2,4,25,0.44,1,0.243,0,1.138,16,0
0,0,1,0,1,14,1,8,11,5,8,13,13,13,11,4,4,8,1,11,40,1,4,25,0.36,1,0.238,0,1.503,0,0
0,0,1,0,1,5,1,8,11,16,4,3,11,13,11,4,4,16,1,27,40,0,4,25,0.16,1,0.188,0,4.835,13,0
0,1,0,0,1,1,1,11,11,3,8,13,11,13,11,4,4,16,1,26,40,0,4,25,0.08,3,0.346,0,2.133,16,0
0,0,0,1,1,9,1,12,11,14,13,4,16,13,8,4,16,16,16,27,24,5,4,25,0.48,2,0,1,0,6,0
0,0,1,0,1,15,1,8,11,16,4,8,5,13,8,4,16,16,16,34,24,4,4,25,0.36,2,0.292,0,1.105,13,0
0,1,1,0,1,2,1,8,11,8,16,5,8,13,8,4,16,1,16,27,24,3,4,25,0.32,1,0,1,0,16,0
0,1,1,0,1,2,1,8,11,5,8,2,8,13,8,4,16,8,16,11,24,2,4,25,0.24,1,0,1,0,16,0
0,1,1,0,1,3,1,8,11,2,8,1,8,13,8,4,16,1,16,26,24,1,4,25,0.16,1,0.192,0,8.895,15,0
0,1,1,0,1,1,1,8,11,1,8,13,11,13,8,4,16,16,16,24,24,0,4,25,0.08,1,0,1,0,0,0
0,1,1,0,0,1,1,8,11,18,18,16,11,13,11,4,11,16,16,24,24,0,4,19,0.316,1,0.177,0,6.421,10,0
0,1,1,0,0,1,1,8,11,18,18,16,11,5,16,16,6,16,16,24,24,1,4,19,0.684,1,0.177,0,6.421,10,0
0,0,0,0,1,3,1,11,11,16,8,16,11,13,11,4,11,16,16,26,24,0,4,19,0.211,3,0.555,0,1.579,16,0
0,0,0,0,1,3,1,11,11,16,8,16,11,5,16,16,6,16,16,26,24,1,4,19,0.579,3,0.555,0,1.579,16,0
0,1,0,0,1,14,1,11,11,16,11,13,11,13,11,4,11,16,16,27,24,0,4,19,0.105,3,0.54,0,3.27,0,0
0,1,0,0,1,14,1,11,11,16,11,13,11,5,16,16,6,16,16,27,24,1,4,19,0.474,3,0.54,0,3.27,0,0
0,1,0,0,1,1,1,11,11,13,11,4,11,5,16,16,6,16,16,24,24,1,4,19,0.368,5,1.0,0,1.415,0,0
0,1,0,0,1,1,1,11,11,4,11,8,2,5,16,16,6,16,16,26,24,1,4,19,0.263,3,0.54,0,3.27,0,0
0,1,1,0,1,2,1,8,11,11,4,2,16,5,16,16,6,16,16,27,24,0,4,19,0.211,1,0.252,0,8.726,11,0
0,0,1,0,1,2,1,8,11,16,11,3,8,13,8,16,3,16,16,26,24,1,4,12,0.333,1,0.101,0,3.384,9,0
0,1,1,0,1,5,1,8,11,3,8,13,11,13,8,16,3,16,16,27,24,0,4,12,0.167,1,0,1,0,0,1
0,1,0,1,0,9,1,12,11,18,18,4,11,13,12,4,16,16,16,27,26,6,4,20,0.7,1,0,1,0,6,0
0,1,0,0,1,3,1,11,11,4,12,3,16,13,12,4,16,16,16,26,26,6,4,20,0.6,5,0.489,0,1.906,15,0
0,1,0,0,1,2,1,11,11,16,3,8,8,13,12,4,16,8,16,23,26,6,4,20,0.45,5,0.489,0,1.906,15,0
0,0,1,0,1,10,1,8,11,11,16,8,12,13,12,4,16,8,16,23,26,5,4,20,0.4,1,0.085,0,6.103,16,0
0,0,1,0,1,1,1,8,11,8,11,12,12,13,12,4,16,16,16,24,26,4,4,20,0.35,1,0.277,0,7.377,11,0
0,1,0,1,1,1,1,12,11,8,8,12,5,13,12,4,16,8,16,5,26,3,4,20,0.3,1,0,1,0,14,1
0,1,0,1,1,1,1,12,11,5,12,12,13,13,12,4,16,12,16,11,26,1,4,20,0.15,1,0,1,0,0,1
0,1,0,1,0,1,1,12,11,18,18,4,1,13,8,16,14,8,16,40,24,2,4,18,0.333,5,0,1,0,14,0
0,1,1,0,1,6,1,8,11,1,4,8,13,13,8,16,14,8,16,23,24,1,4,18,0.167,1,0.151,0,4.18,12,0
0,1,1,0,1,1,1,8,11,8,1,13,11,13,8,16,14,18,16,32,24,0,4,18,0.111,3,0.198,0,5.841,9,1
0,1,1,0,1,2,1,8,11,6,5,8,4,13,8,16,1,8,16,23,24,2,4,29,0.345,3,0.198,0,5.841,9,0
0,1,1,0,1,2,14,8,11,6,5,8,4,5,8,4,8,8,16,23,11,3,4,29,0.517,3,0.198,0,5.841,9,0
0,1,1,0,1,6,1,8,11,8,6,4,1,13,8,16,1,1,16,27,24,1,4,29,0.31,1,0.169,0,4.106,11,0
0,1,1,0,1,6,14,8,11,8,6,4,1,5,8,4,8,1,16,27,11,2,4,29,0.483,1,0.169,0,4.106,11,0
0,1,1,0,1,1,1,8,11,1,3,13,11,13,8,16,1,16,16,26,24,0,4,29,0.069,2,0.196,0,6.666,11,1
0,1,1,0,1,1,14,8,11,1,3,13,11,5,8,4,8,16,16,26,11,1,4,29,0.241,2,0.196,0,6.666,11,1
0,1,0,0,1,1,14,11,11,13,8,16,1,5,8,4,8,16,16,24,11,1,4,29,0.172,4,1.0,0,1.415,0,0
0,1,1,0,1,6,14,8,11,1,16,5,11,5,8,4,8,16,16,27,11,0,4,29,0.069,1,0.232,0,3.471,7,0
0,1,0,0,0,2,1,11,11,18,18,8,4,13,8,4,8,8,16,23,24,2,4,20,0.35,4,0.489,0,1.906,15,0
0,0,1,0,1,9,1,8,11,11,18,4,9,13,8,4,8,18,16,32,24,1,4,20,0.3,3,0.227,0,7.713,10,0
0,0,1,0,1,3,1,8,11,1,9,13,11,13,8,4,8,8,16,40,24,0,4,20,0.1,1,0.302,0,6.184,7,1
0,0,0,0,1,1,1,11,11,4,13,6,9,13,2,16,8,9,16,27,24,0,4,14,0.357,1,0.555,0,1.579,16,0
0,0,0,0,0,1,1,11,11,18,18,4,16,13,2,16,8,16,16,24,24,2,4,35,0.257,5,0.489,0,1.906,15,0
0,0,1,0,1,14,1,8,11,1,16,8,2,13,2,16,8,16,16,27,24,1,4,35,0.114,1,0.243,0,5.219,12,0
0,1,1,0,1,2,1,8,11,8,1,2,13,13,2,16,8,16,16,27,24,0,4,35,0.086,1,0.288,0,2.942,11,1
0,1,1,0,0,2,1,8,11,18,18,16,8,13,8,16,3,16,16,26,24,4,4,13,0.538,1,0.184,0,8.4,11,0
0,1,1,0,1,5,1,8,11,16,8,12,8,13,8,16,3,16,16,27,24,3,4,13,0.385,4,0.299,0,6.308,10,0
0,1,0,1,1,2,1,12,11,8,16,8,8,13,8,16,3,8,16,23,24,2,4,13,0.308,1,0,1,0,16,0
0,1,1,0,1,2,1,8,11,12,8,8,13,13,8,16,3,8,16,23,24,1,4,13,0.231,1,0.125,0,7.044,15,0
0,1,1,0,1,1,1,8,11,8,12,13,11,13,8,16,3,16,16,24,24,0,4,13,0.154,1,0,1,0,15,1
0,1,0,1,0,2,1,12,11,18,18,8,4,13,8,4,11,8,16,23,24,3,4,15,0.4,2,0,1,0,14,0
0,0,1,0,1,1,1,8,11,12,18,4,12,13,8,4,11,8,16,40,24,2,4,15,0.333,1,0.149,0,1.617,12,0
0,0,0,1,1,0,1,12,11,4,8,8,13,13,8,4,11,8,16,23,24,1,4,15,0.2,1,0,1,0,10,0
0,1,1,0,1,6,1,8,11,12,4,13,11,13,8,4,11,18,16,32,24,0,4,15,0.133,1,0,1,0,0,1
0,0,1,0,0,1,1,8,11,18,18,4,6,13,8,8,3,8,16,40,24,1,4,15,0.333,2,0.289,0,0,13,0
0,1,1,0,1,1,1,8,11,6,4,13,11,13,8,8,3,18,16,32,24,0,4,15,0.133,1,0.321,0,6.554,9,1
0,0,0,0,1,1,1,11,11,3,18,16,13,13,8,4,16,16,16,24,24,3,4,49,0.204,2,0.38,0,3.021,0,0
0,0,0,0,1,1,6,11,11,3,18,16,13,13,8,4,3,16,16,24,27,6,4,49,0.735,2,0.38,0,3.021,0,0
0,1,0,1,1,1,1,12,11,14,13,12,4,13,8,4,16,8,16,40,24,2,4,49,0.122,1,0,1,0,13,0
0,1,0,1,1,1,6,12,11,14,13,12,4,13,8,4,3,8,16,40,27,5,4,49,0.653,1,0,1,0,13,0
0,1,1,0,1,1,1,8,11,1,4,13,11,13,8,4,16,16,16,9,24,0,4,49,0.041,1,0.28,0,4.089,0,1
0,1,1,0,1,1,6,8,11,1,4,13,11,13,8,4,3,16,16,9,27,3,4,49,0.571,1,0.28,0,4.089,0,0
0,1,0,0,1,1,6,11,11,13,8,4,16,13,8,4,3,16,16,24,27,3,4,49,0.531,4,1.0,0,1.415,0,0
0,1,1,0,1,2,6,8,11,9,3,2,6,13,8,4,3,16,16,27,27,2,4,49,0.224,1,0,1,0,11,0
0,1,1,0,1,9,6,8,11,1,6,16,3,13,8,4,3,16,16,27,27,1,4,49,0.143,1,0.112,0,8.001,14,0
0,1,0,0,1,5,6,11,11,3,16,1,8,13,8,4,3,1,16,27,27,1,4,49,0.082,9,0.54,0,3.27,0,0
0,1,1,0,1,3,6,8,11,1,11,13,11,13,8,4,3,16,16,26,27,0,4,49,0.041,4,0.302,0,6.184,7,1
0,1,0,1,1,1,1,12,11,16,5,12,13,13,12,16,3,16,16,26,24,1,4,10,0.3,1,0,1,0,0,1
0,1,0,0,0,1,1,11,11,18,18,4,3,13,8,16,3,8,16,40,24,1,4,23,0.261,8,0.54,0,3.27,0,0
0,1,1,0,1,1,1,8,11,1,3,13,11,13,8,16,3,18,16,32,24,0,4,23,0.087,3,0.302,0,6.184,7,1
0,1,0,0,0,1,1,11,11,18,18,4,16,13,16,6,8,16,16,24,24,0,4,13,0.308,1,0.43,0,5.029,0,0
0,1,0,0,0,1,1,11,11,18,18,4,16,5,16,3,16,16,16,24,24,1,4,13,0.692,1,0.43,0,5.029,0,0
0,1,0,0,1,1,1,11,11,13,16,6,8,5,16,3,16,16,16,24,24,1,4,13,0.385,7,1.0,0,1.415,0,0
0,0,1,0,1,1,1,8,11,6,11,16,5,5,16,3,16,16,16,26,24,0,4,13,0.231,1,0.121,0,6.748,15,0
0,0,0,0,0,1,1,11,11,18,18,4,16,13,16,16,13,16,16,24,24,0,4,19,0.211,5,0.489,0,1.906,15,0
0,0,0,0,0,1,1,11,11,18,18,4,16,13,3,6,8,16,16,24,24,0,4,19,0.579,5,0.489,0,1.906,15,0
0,1,0,0,1,1,1,11,11,13,16,16,13,13,3,6,8,16,16,24,24,0,4,19,0.368,7,1.0,0,1.415,0,0
0,1,0,0,1,1,1,11,11,5,18,4,16,13,16,16,12,16,16,24,24,0,4,17,0.235,6,0.489,0,1.906,15,0
0,1,0,0,0,2,1,11,11,18,18,1,9,13,8,4,6,9,8,23,40,1,4,10,0.5,3,0.489,0,1.906,15,0
0,0,1,0,1,3,1,8,11,9,1,13,11,13,8,4,6,18,8,32,40,0,4,10,0.2,1,0,1,0,11,1
0,0,0,1,1,0,5,12,11,5,18,8,4,13,8,4,6,8,1,23,27,2,4,14,0.357,3,0,1,0,13,0
0,1,1,0,1,1,5,8,11,12,5,4,8,13,8,4,6,8,1,40,27,1,4,14,0.286,4,0,1,0,15,0
0,1,1,0,1,1,5,8,11,4,8,13,11,13,8,4,6,18,1,32,27,0,4,14,0.143,3,0.302,0,6.184,7,1
0,1,0,1,0,1,1,12,11,18,18,4,8,13,8,16,6,8,16,40,24,1,4,18,0.222,4,0,1,0,12,0
0,1,1,0,1,1,1,8,11,4,12,13,11,13,8,16,6,18,16,32,24,0,4,18,0.111,3,0.302,0,6.184,7,1
0,1,1,0,1,3,1,8,11,1,3,12,5,13,8,16,1,16,16,26,24,4,4,20,0.5,1,0.212,0,1.899,8,0
0,1,0,1,1,1,1,12,11,8,1,5,12,13,8,16,1,16,16,24,24,3,4,20,0.45,1,0,1,0,15,0
0,1,0,1,1,1,1,12,11,5,12,12,13,13,8,16,1,12,16,11,24,2,4,20,0.35,1,0,1,0,16,0
0,1,1,0,1,1,1,8,11,1,1,13,11,13,8,16,1,12,16,5,24,0,4,20,0.1,1,0.349,0,3.184,0,1
0,0,1,0,0,2,1,8,11,18,18,8,16,13,8,16,12,8,16,23,24,8,4,18,0.722,1,-0.074,0,4.538,12,0
0,0,1,0,1,9,1,8,11,8,18,16,12,13,8,16,12,16,16,27,24,7,4,18,0.667,1,0.03,0,2.286,10,0
0,0,0,1,1,0,1,12,11,16,8,12,12,13,8,16,12,12,16,23,24,6,4,18,0.556,8,0,1,0,9,0
0,1,0,1,1,2,1,12,11,12,16,12,3,13,8,16,12,12,16,23,24,5,4,18,0.5,1,0,1,0,15,0
0,0,0,1,1,1,1,12,11,12,12,3,8,13,8,16,12,16,16,24,24,4,4,18,0.444,1,0,1,0,14,0
0,1,1,0,1,2,1,8,11,3,12,8,8,13,8,16,12,8,16,23,24,3,4,18,0.333,2,0.08,0,1.719,13,0
0,0,1,0,1,3,1,8,11,8,3,8,5,13,8,16,12,16,16,26,24,2,4,18,0.278,1,0.012,0,2.189,13,0
0,1,1,0,1,5,1,8,11,8,8,5,8,13,8,16,12,8,16,23,24,1,4,18,0.222,2,0.302,0,6.184,7,1
0,1,1,0,1,5,1,8,11,5,8,13,11,13,8,16,12,8,16,11,24,0,4,18,0.111,1,0.244,0,3.403,12,1
0,0,1,0,0,1,1,8,11,18,18,12,16,13,8,4,3,16,1,24,40,9,4,29,0.759,1,0,1,0,11,0
0,0,0,1,1,1,1,12,11,8,18,16,12,13,8,4,3,8,1,5,40,8,4,29,0.724,1,0,1,0,15,0
0,0,0,1,1,0,1,12,11,16,12,8,9,13,8,4,3,8,1,23,40,7,4,29,0.655,9,0,1,0,9,0
0,0,1,0,1,6,1,8,11,12,16,9,8,13,8,4,3,1,1,27,40,6,4,29,0.621,3,0.054,0,7.017,13,0
0,0,1,0,1,3,1,8,11,9,8,1,1,13,8,4,3,1,1,27,40,5,4,29,0.552,1,-0.005,0,3.557,6,0
0,1,1,0,1,3,1,8,11,1,1,1,8,13,8,4,3,16,1,26,40,4,4,29,0.448,1,0,1,0,16,0
0,0,1,0,1,15,1,8,11,1,8,13,11,13,8,4,3,16,1,34,40,3,4,29,0.379,1,0.149,0,8.168,16,0
0,0,0,0,1,1,1,11,11,13,8,16,9,13,8,4,3,16,1,24,40,3,4,29,0.31,5,0.698,0,1.139,0,0
0,0,1,0,1,2,1,8,11,1,9,1,8,13,8,4,3,1,1,26,40,2,4,29,0.172,2,0.247,0,7.518,8,0
0,1,1,0,1,1,1,8,11,1,8,8,13,13,8,4,3,16,1,26,40,1,4,29,0.103,1,0.302,0,6.184,7,0
0,1,1,0,1,15,1,8,11,8,1,13,11,13,8,4,3,16,1,34,40,0,4,29,0.069,1,0.312,0,3.923,0,1
0,1,0,1,0,2,1,12,11,18,18,8,13,13,8,4,6,8,16,23,24,1,4,36,0.083,8,0,1,0,12,0
0,0,1,0,1,1,1,8,11,12,18,13,11,13,8,4,6,16,16,24,24,0,4,36,0.056,3,0.178,0,3.221,12,1
0,0,1,0,0,2,1,8,11,18,18,8,16,13,11,16,1,8,16,23,24,2,4,20,0.8,1,0,1,0,15,0
0,1,1,0,1,3,1,8,11,8,18,16,16,13,11,16,1,16,16,26,24,1,4,20,0.75,1,0,1,0,16,0
